size  rank  host  max_eigen_value
288 142 cn54 13.73864 
288 191 cn55 13.3967 
288 38 cn41 14.18231 
288 41 cn41 13.70581 
288 234 cn56 14.04503 
288 29 cn41 18.82976 
288 26 cn41 13.81084 
288 221 cn56 14.91704 
288 256 cn57 14.05141 
288 272 cn57 14.56957 
288 30 cn41 12.61841 
288 210 cn56 15.54294 
288 13 cn41 15.61454 
288 36 cn41 13.44424 
288 12 cn41 14.30534 
288 23 cn41 13.03765 
288 67 cn53 15.12053 
288 47 cn41 13.58456 
288 16 cn41 15.22969 
288 79 cn53 12.96825 
288 37 cn41 15.3048 
288 8 cn41 13.88294 
288 43 cn41 15.19949 
288 232 cn56 13.52755 
288 225 cn56 13.31264 
288 192 cn56 13.76954 
288 6 cn41 14.66137 
288 124 cn54 14.11379 
288 76 cn53 14.27768 
288 59 cn53 14.844 
288 14 cn41 15.06646 
288 121 cn54 13.23854 
288 99 cn54 15.05714 
288 126 cn54 14.34995 
288 27 cn41 14.02544 
288 110 cn54 14.53171 
288 58 cn53 13.25849 
288 209 cn56 13.47452 
288 133 cn54 15.10367 
288 107 cn54 13.7621 
288 240 cn57 13.15317 
288 245 cn57 15.37139 
288 249 cn57 14.55117 
288 250 cn57 13.77206 
288 269 cn57 14.30153 
288 270 cn57 13.97165 
288 274 cn57 12.67303 
288 276 cn57 15.85715 
288 280 cn57 14.31331 
288 281 cn57 15.05826 
288 282 cn57 13.99224 
288 287 cn57 13.14963 
288 222 cn56 14.46103 
288 271 cn57 14.48605 
288 137 cn54 14.4759 
288 273 cn57 13.34948 
288 113 cn54 14.53571 
288 187 cn55 13.66908 
288 164 cn55 15.56832 
288 284 cn57 14.17909 
288 283 cn57 16.64501 
288 74 cn53 14.01059 
288 196 cn56 16.11448 
288 136 cn54 15.02085 
288 101 cn54 14.50865 
288 175 cn55 15.05066 
288 285 cn57 13.0668 
288 60 cn53 14.7775 
288 56 cn53 14.15649 
288 176 cn55 15.28941 
288 80 cn53 15.71386 
288 138 cn54 15.19758 
288 151 cn55 15.03536 
288 51 cn53 15.69858 
288 216 cn56 15.99776 
288 183 cn55 13.74909 
288 186 cn55 13.19006 
288 263 cn57 16.55754 
288 227 cn56 13.63171 
288 259 cn57 15.40511 
288 255 cn57 13.24645 
288 265 cn57 12.88731 
288 153 cn55 13.71208 
288 253 cn57 14.17262 
288 81 cn53 14.396 
288 148 cn55 13.83789 
288 266 cn57 13.20205 
288 158 cn55 15.05912 
288 97 cn54 14.77252 
288 104 cn54 14.16 
288 125 cn54 16.4834 
288 129 cn54 13.50613 
288 207 cn56 14.83629 
288 278 cn57 13.58404 
288 169 cn55 15.02714 
288 152 cn55 13.23048 
288 149 cn55 15.85035 
288 174 cn55 14.16615 
288 247 cn57 14.33632 
288 62 cn53 15.49325 
288 68 cn53 14.01126 
288 88 cn53 12.83434 
288 92 cn53 14.55991 
288 64 cn53 14.97407 
288 55 cn53 12.15081 
288 231 cn56 15.96598 
288 171 cn55 13.75766 
288 235 cn56 16.48219 
288 94 cn53 14.7742 
288 189 cn55 13.19001 
288 163 cn55 14.82282 
288 134 cn54 15.51069 
288 93 cn53 12.93149 
288 167 cn55 13.89146 
288 206 cn56 15.56505 
288 213 cn56 14.7965 
288 215 cn56 14.02525 
288 226 cn56 16.0023 
288 239 cn56 14.32059 
288 217 cn56 16.51597 
288 72 cn53 14.74595 
288 172 cn55 14.02525 
288 238 cn56 13.4392 
288 135 cn54 12.84835 
288 150 cn55 14.53512 
288 197 cn56 13.41394 
288 159 cn55 15.17043 
288 230 cn56 14.53402 
288 54 cn53 14.77562 
288 65 cn53 13.38241 
288 78 cn53 13.09578 
288 132 cn54 14.44429 
288 155 cn55 14.55657 
288 61 cn53 13.3552 
288 143 cn54 14.56267 
288 87 cn53 16.67568 
288 75 cn53 11.90599 
288 69 cn53 14.9522 
288 102 cn54 14.7176 
288 154 cn55 14.22695 
288 82 cn53 13.73174 
288 199 cn56 15.03479 
288 223 cn56 13.36339 
288 224 cn56 14.78384 
288 229 cn56 15.13531 
288 237 cn56 14.33296 
288 198 cn56 14.19038 
288 218 cn56 14.53404 
288 212 cn56 13.05137 
288 200 cn56 13.48275 
288 185 cn55 15.86603 
288 177 cn55 14.66453 
288 179 cn55 15.4644 
288 170 cn55 16.5139 
288 178 cn55 14.89047 
288 184 cn55 15.01 
288 173 cn55 13.62232 
288 145 cn55 13.782 
288 156 cn55 14.91623 
288 165 cn55 14.18776 
288 162 cn55 15.80629 
288 181 cn55 14.65804 
288 166 cn55 13.95956 
288 168 cn55 13.50421 
