size  rank  host  max_eigen_value
240 19 cn61 13.74285 
240 164 cn68 15.57048 
240 205 cn70 13.95098 
240 195 cn70 15.09766 
240 201 cn70 12.87884 
240 212 cn70 14.12896 
240 209 cn70 12.02422 
240 215 cn70 13.65663 
240 214 cn70 14.2943 
240 213 cn70 14.99402 
240 160 cn68 13.79855 
240 202 cn70 14.47232 
240 148 cn68 14.42208 
240 1 cn61 14.25143 
240 162 cn68 13.9816 
240 197 cn70 13.11016 
240 158 cn68 12.79054 
240 165 cn68 13.46159 
240 150 cn68 15.16004 
240 167 cn68 12.84525 
240 149 cn68 15.53586 
240 154 cn68 14.97295 
240 204 cn70 16.08631 
240 206 cn70 13.40857 
240 15 cn61 15.36225 
240 192 cn70 12.64574 
240 10 cn61 14.19518 
240 21 cn61 12.51709 
240 14 cn61 14.77924 
240 20 cn61 13.9203 
240 8 cn61 13.92693 
240 211 cn70 16.00608 
240 2 cn61 12.92582 
240 22 cn61 12.90371 
240 17 cn61 13.86002 
240 6 cn61 14.19208 
240 3 cn61 15.06761 
240 12 cn61 15.7626 
240 13 cn61 13.33772 
240 198 cn70 15.08161 
240 208 cn70 14.85413 
240 193 cn70 14.49105 
240 203 cn70 16.10436 
240 199 cn70 13.55702 
240 196 cn70 14.13203 
240 194 cn70 14.29025 
240 200 cn70 14.51763 
240 210 cn70 14.18939 
