size  rank  host  max_eigen_value
240 73 cn65 6.993114 
240 145 cn68 8.161952 
240 74 cn65 8.028413 
240 147 cn68 8.019242 
240 75 cn65 7.201658 
240 159 cn68 6.671227 
240 77 cn65 7.547066 
240 160 cn68 8.160518 
240 78 cn65 7.210135 
240 164 cn68 6.623469 
240 80 cn65 5.626449 
240 166 cn68 7.901482 
240 85 cn65 6.985957 
240 163 cn68 8.504871 
240 86 cn65 8.548883 
240 161 cn68 8.372595 
240 88 cn65 9.899233 
240 167 cn68 5.914241 
240 90 cn65 5.002294 
240 162 cn68 5.74442 
240 92 cn65 7.212832 
240 148 cn68 6.072395 
240 89 cn65 4.731037 
240 165 cn68 6.717695 
240 81 cn65 8.668173 
240 155 cn68 8.450213 
240 94 cn65 8.772051 
240 156 cn68 6.234465 
240 91 cn65 10.13508 
240 144 cn68 8.301 
240 79 cn65 8.001942 
240 146 cn68 9.299756 
240 82 cn65 6.903839 
240 154 cn68 10.56036 
240 84 cn65 8.595745 
240 158 cn68 9.098933 
240 87 cn65 6.675096 
240 151 cn68 7.908407 
240 72 cn65 8.110276 
240 149 cn68 10.1415 
240 83 cn65 7.089253 
240 153 cn68 7.7434 
240 93 cn65 9.688331 
240 157 cn68 6.666522 
240 152 cn68 7.051882 
240 120 cn67 7.907404 
240 141 cn67 6.7465 
240 143 cn67 6.901043 
240 127 cn67 7.063213 
240 131 cn67 6.819391 
240 121 cn67 9.853925 
240 124 cn67 9.807618 
240 142 cn67 8.905548 
240 128 cn67 9.564442 
240 139 cn67 8.704537 
240 135 cn67 6.668408 
240 138 cn67 5.26667 
240 132 cn67 8.26504 
240 140 cn67 7.855184 
240 123 cn67 6.666522 
240 126 cn67 6.66308 
240 133 cn67 8.244891 
240 134 cn67 5.990226 
240 136 cn67 6.477294 
240 130 cn67 6.582654 
240 137 cn67 5.436388 
240 122 cn67 6.728781 
240 125 cn67 7.245911 
240 225 cn71 6.44653 
240 228 cn71 9.241976 
240 229 cn71 8.10755 
240 238 cn71 7.811319 
240 239 cn71 8.694583 
240 216 cn71 7.31974 
240 218 cn71 6.467937 
240 226 cn71 5.835775 
240 227 cn71 6.174745 
240 236 cn71 7.339395 
240 234 cn71 9.585789 
240 223 cn71 8.648521 
240 231 cn71 5.569896 
240 232 cn71 7.793095 
240 233 cn71 9.762716 
240 222 cn71 9.181762 
240 235 cn71 9.152804 
240 224 cn71 6.952111 
240 230 cn71 7.535742 
240 220 cn71 7.182697 
240 219 cn71 7.614723 
240 217 cn71 9.238494 
240 237 cn71 7.062779 
240 200 cn70 6.912882 
240 209 cn70 7.12685 
240 197 cn70 6.626619 
240 201 cn70 6.930839 
240 207 cn70 6.458277 
240 208 cn70 7.245928 
240 214 cn70 7.373236 
240 215 cn70 6.014828 
240 205 cn70 7.673295 
240 202 cn70 6.821547 
240 206 cn70 10.19086 
240 210 cn70 6.531748 
240 194 cn70 6.577519 
240 196 cn70 8.001942 
240 211 cn70 5.215027 
240 204 cn70 7.763619 
240 195 cn70 7.04125 
240 198 cn70 6.90335 
240 199 cn70 8.633314 
240 193 cn70 7.505425 
240 213 cn70 6.95277 
240 203 cn70 7.8051 
240 212 cn70 6.838102 
