size  rank  host  max_eigen_value
288 283 cn57 7.266084 
288 258 cn57 8.123022 
288 246 cn57 5.719781 
288 270 cn57 9.044059 
288 277 cn57 9.404009 
288 240 cn57 6.366407 
288 247 cn57 7.262876 
288 251 cn57 6.165272 
288 260 cn57 7.943306 
288 267 cn57 4.833585 
288 281 cn57 7.020862 
288 287 cn57 5.740761 
288 282 cn57 6.938728 
288 286 cn57 6.489462 
288 275 cn57 6.900672 
288 254 cn57 8.697159 
288 263 cn57 8.799147 
288 252 cn57 4.97993 
288 269 cn57 6.06487 
288 271 cn57 7.623295 
288 244 cn57 5.63491 
288 261 cn57 8.150652 
288 280 cn57 8.236321 
288 253 cn57 6.124313 
288 272 cn57 6.747229 
288 268 cn57 5.978167 
288 285 cn57 8.076472 
288 259 cn57 7.066691 
288 279 cn57 6.947134 
288 262 cn57 7.055625 
288 276 cn57 9.01892 
288 265 cn57 5.980446 
288 278 cn57 6.772441 
288 255 cn57 9.767475 
288 242 cn57 5.461977 
288 264 cn57 7.299645 
288 245 cn57 7.7767 
288 256 cn57 5.40206 
288 195 cn56 6.606334 
288 197 cn56 6.272795 
288 198 cn56 5.911083 
288 200 cn56 8.679181 
288 201 cn56 7.179625 
288 202 cn56 11.04617 
288 208 cn56 6.127098 
288 209 cn56 7.660113 
288 210 cn56 5.51659 
288 213 cn56 8.177125 
288 217 cn56 7.17243 
288 226 cn56 5.894399 
288 227 cn56 5.014626 
288 228 cn56 7.184851 
288 229 cn56 6.647844 
288 231 cn56 7.826862 
288 239 cn56 8.158499 
288 196 cn56 7.378143 
288 219 cn56 6.589219 
288 220 cn56 6.318772 
288 224 cn56 7.240004 
288 237 cn56 9.217453 
288 218 cn56 8.73382 
288 199 cn56 6.677134 
288 225 cn56 7.772417 
288 233 cn56 7.24962 
288 215 cn56 9.551019 
288 214 cn56 9.10338 
288 236 cn56 7.767324 
288 203 cn56 6.545587 
288 204 cn56 6.606482 
288 192 cn56 7.346076 
288 193 cn56 8.877565 
288 221 cn56 8.936062 
288 238 cn56 6.610193 
288 206 cn56 7.860499 
288 223 cn56 6.161247 
288 234 cn56 8.107755 
288 207 cn56 9.435568 
288 205 cn56 6.747605 
288 211 cn56 6.889821 
288 222 cn56 8.37329 
288 235 cn56 9.876688 
288 216 cn56 8.867897 
288 212 cn56 8.034679 
288 230 cn56 8.589331 
288 232 cn56 8.403424 
288 95 cn53 8.66222 
288 65 cn53 7.864052 
288 91 cn53 7.653232 
288 53 cn53 5.865954 
288 58 cn53 6.083685 
288 60 cn53 6.258057 
288 75 cn53 8.314715 
288 74 cn53 7.726139 
288 77 cn53 10.55568 
288 87 cn53 8.531481 
288 71 cn53 9.192834 
288 66 cn53 6.900426 
288 79 cn53 7.854568 
288 51 cn53 7.018202 
288 52 cn53 5.964078 
288 57 cn53 7.769796 
288 63 cn53 7.718563 
288 69 cn53 8.355787 
288 73 cn53 7.392762 
288 56 cn53 7.147953 
288 70 cn53 8.651478 
288 82 cn53 6.640916 
288 84 cn53 8.276139 
288 93 cn53 8.95466 
288 83 cn53 8.670156 
288 85 cn53 8.272236 
288 72 cn53 5.634729 
288 94 cn53 9.593407 
288 54 cn53 6.058586 
288 61 cn53 7.632711 
288 80 cn53 6.639021 
288 64 cn53 6.847724 
288 89 cn53 7.56779 
288 67 cn53 9.999067 
288 59 cn53 9.329669 
288 68 cn53 7.608951 
288 81 cn53 10.40088 
288 88 cn53 7.823022 
288 92 cn53 5.638557 
288 48 cn53 6.948253 
288 50 cn53 7.632049 
288 55 cn53 7.886834 
288 49 cn53 10.63774 
288 62 cn53 7.593129 
288 78 cn53 7.672094 
288 86 cn53 6.420071 
288 90 cn53 7.58346 
